Top pages,Clicks,Impressions,CTR,Position
https://www.nailartai.app/nail-salons/delaware/new-castle/coco-nails-spa,3,32,9.38%,17.34
https://www.nailartai.app/nail-salons/pennsylvania/allentown/christianails,3,30,10%,5.13
https://nailartai.app/nail-salons/pennsylvania/horsham/nexus-nail-spa,3,28,10.71%,7.64
https://nailartai.app/nail-salons/alabama/arab/l-a-nails-arab-al,3,28,10.71%,12.79
https://www.nailartai.app/nail-salons/michigan/saginaw/area-27,3,27,11.11%,4.33
https://www.nailartai.app/nail-salons/alabama/birmingham/j-michelle-studios,3,25,12%,7.24
https://www.nailartai.app/nail-salons/pennsylvania/jersey-shore/hush-hair-nail-studio-llc,3,14,21.43%,6.36
https://www.nailartai.app/nail-salons/idaho/aberdeen/aberdeen-beauty-bar,3,10,30%,6.2
https://nailartai.app/christmas-nail-art/gold-red-christmas-metallic-ornaments-sparkly-christmas-nails-bc59666a,2,1112,0.18%,4.9
https://nailartai.app/nail-salons/michigan/midland/modern-nails-2,2,754,0.27%,10.7
https://nailartai.app/nail-salons/pennsylvania/allentown/le-spa,2,467,0.43%,8.85
https://www.nailartai.app/nail-salons/pennsylvania/levittown/top-nails-and-spa,2,385,0.52%,15.22
https://nailartai.app/nail-salons/michigan/woodhaven/bellagio-nail-and-spa,2,378,0.53%,8.41
https://www.nailartai.app/nail-salons/michigan/kalamazoo/v-nails-spa,2,346,0.58%,7.47
https://nailartai.app/design/french-christmas-nude-red-gold-lights-christmas-nails,2,333,0.6%,10.47
https://nailartai.app/nail-salons/pennsylvania/bangor/the-vault-hair-company,2,315,0.63%,8.63
https://nailartai.app/nail-salons/indiana/fort-wayne/queen-s-lounge-glenbrook,2,297,0.67%,8.9
https://nailartai.app/nail-salons/pennsylvania/macungie/hd-nail-lounge,2,296,0.68%,11.78
https://nailartai.app/nail-salons/pennsylvania/minersville/nailed-it-nails-bar,2,289,0.69%,9
https://nailartai.app/nail-salons/pennsylvania/dillsburg/camy-nails,2,277,0.72%,7.28
https://nailartai.app/nail-salons/michigan/canton/holiday-nails,2,263,0.76%,9.31
https://www.nailartai.app/nail-salons/michigan/canton/nails-by-nui,2,256,0.78%,8.06
https://nailartai.app/nail-salons/michigan/davison/m-m-nail-hair-spa,2,255,0.78%,10.36
https://www.nailartai.app/nail-salons/pennsylvania/murrysville/life-in-color-nail-spa,2,243,0.82%,11.39
https://www.nailartai.app/nail-salons/alabama/anniston/luxury-nail-lounge,2,237,0.84%,5.85
https://www.nailartai.app/nail-salons/pennsylvania/catasauqua/ly-nail-spa,2,227,0.88%,8.49
https://www.nailartai.app/nail-salons/michigan/kalamazoo/glamour-nails-under-new-management-we-always-offer-a-10-discount-for-customers-on-their-birthday-or-students,2,219,0.91%,6.08
https://nailartai.app/nail-salons/alabama/auburn/venus-nails-spa,2,219,0.91%,11.86
https://nailartai.app/nail-salons/michigan/taylor/happy-nails-spa,2,211,0.95%,6.64
https://nailartai.app/nail-salons/michigan/traverse-city/we-love-nails,2,206,0.97%,6.43
https://nailartai.app/nail-salons/pennsylvania/archbald/hz-mermaid-nail-salon,2,190,1.05%,7.98
https://nailartai.app/nail-salons/pennsylvania/olyphant/hz-mermaid-nail-salon,2,189,1.06%,8.64
https://www.nailartai.app/nail-salons/alaska/fairbanks/wow-head-spa,2,184,1.09%,10.22
https://www.nailartai.app/nail-salons/pennsylvania/willow-grove/nail-story,2,176,1.14%,10.25
https://www.nailartai.app/nail-salons/pennsylvania/dallas/eva-nails,2,172,1.16%,7.04
https://www.nailartai.app/nail-salons/michigan/northville/qq-nail-and-spa,2,169,1.18%,8.11
https://nailartai.app/nail-salons/pennsylvania/new-holland/vizion-beauty-nails,2,156,1.28%,6.47
https://nailartai.app/nail-salons/south-carolina/north-charleston/a-nails-studio,2,156,1.28%,9.15
https://nailartai.app/nail-salons/pennsylvania/hatfield/superb-nails,2,155,1.29%,13.11
https://www.nailartai.app/nail-salons/michigan/dexter,2,152,1.32%,11.16
https://nailartai.app/nail-salons/pennsylvania/jermyn/hz-mermaid-nail-salon,2,149,1.34%,8.08
https://nailartai.app/nail-salons/michigan/brighton/nurtured-nails,2,147,1.36%,6.56
https://www.nailartai.app/nail-salons/pennsylvania/macungie/hd-nail-lounge,2,143,1.4%,8.27
https://nailartai.app/nail-salons/michigan/birmingham/nails-etc,2,139,1.44%,13.49
https://www.nailartai.app/nail-salons/pennsylvania/hershey/lan-nails-spa,2,138,1.45%,12.04
https://www.nailartai.app/nail-salons/michigan/howell/v-nails-permanent-makeup,2,133,1.5%,10.8
https://nailartai.app/nail-salons/alabama/anniston/tracy-nails-and-spa,2,132,1.52%,9.24
https://nailartai.app/nail-salons/pennsylvania/nazareth/new-green-spa-asian-massage-nazareth-pa,2,129,1.55%,8.4
https://www.nailartai.app/nail-salons/michigan/trenton/the-nailed-coffin,2,125,1.6%,7.09
https://nailartai.app/nail-salons/alabama/vestavia-hills/vip-nails-spa,2,125,1.6%,9.13
https://www.nailartai.app/nail-salons/pennsylvania/easton/luxy-spa-nails,2,122,1.64%,10.64
https://www.nailartai.app/nail-salons/michigan/lincoln-park/the-beauty-room,2,121,1.65%,6.56
https://nailartai.app/nail-salons/alabama/huntsville/rocket-city-nails-spa,2,119,1.68%,8.84
https://nailartai.app/nail-salons/pennsylvania/dubois,2,118,1.69%,12.78
https://www.nailartai.app/nail-salons/pennsylvania/moosic/tip-top-nails,2,113,1.77%,6.4
https://www.nailartai.app/nail-salons/pennsylvania/state-college/nail-time,2,113,1.77%,8.58
https://nailartai.app/nail-salons/pennsylvania/indiana/magic-nails,2,112,1.79%,8.32
https://www.nailartai.app/nail-salons/michigan/saginaw/pretty-nails,2,112,1.79%,12.95
https://www.nailartai.app/nail-salons/pennsylvania/wyomissing/dluxe-beauty-lounge,2,110,1.82%,9.66
https://nailartai.app/nail-salons/michigan/kalamazoo/glamour-nails-under-new-management-we-always-offer-a-10-discount-for-customers-on-their-birthday-or-students,2,109,1.83%,7.5
https://www.nailartai.app/nail-salons/alabama/dothan/color-my-nails,2,108,1.85%,8.56
https://www.nailartai.app/nail-salons/pennsylvania/honesdale/nail-love,2,107,1.87%,12.7
https://nailartai.app/nail-salons/pennsylvania/new-holland/shine-nails-spa-of-leola,2,105,1.9%,7.4
https://www.nailartai.app/nail-salons/pennsylvania/levittown/designer-nails-spa,2,105,1.9%,7.82
https://nailartai.app/nail-salons/california/burbank/aphina-nail-salon,2,105,1.9%,8.05
https://nailartai.app/nail-salons/new-york/syracuse/luminous-nails-spa,2,104,1.92%,11.07
https://nailartai.app/nail-salons/michigan/fremont/happy-nails-spa,2,102,1.96%,8.81
https://nailartai.app/nail-salons/michigan/troy/eco-nails,2,101,1.98%,11.86
https://nailartai.app/nail-salons/texas/abilene/aj-nails-spa,2,101,1.98%,14.12
https://nailartai.app/nail-salons/michigan/fenton/sapphire-nail-bar-spa,2,100,2%,8.72
https://www.nailartai.app/nail-art/occasion/christmas,2,97,2.06%,7.4
https://www.nailartai.app/nail-salons/michigan/jackson/summit-nails-spa,2,97,2.06%,12.41
https://nailartai.app/nail-salons/michigan/st-joseph/t-l-nails-spa,2,95,2.11%,6.05
https://nailartai.app/nail-salons/pennsylvania/bethlehem/sage-nail-spa,2,92,2.17%,8.13
https://www.nailartai.app/nail-salons/pennsylvania/tunkhannock/beauty-nail,2,92,2.17%,8.17
https://nailartai.app/nail-salons/pennsylvania/philadelphia/envy-nail-lounge-spa,2,91,2.2%,8.89
https://www.nailartai.app/nail-salons/pennsylvania/hatfield/superb-nails,2,91,2.2%,11.84
https://www.nailartai.app/nail-salons/pennsylvania/jenkintown/rockledge-nail-salon,2,90,2.22%,9.2
https://nailartai.app/nail-salons/michigan/sault-ste-marie/vip-nails-spa,2,85,2.35%,12.86
https://nailartai.app/nail-salons/michigan/sterling-heights/pristine-nails,2,84,2.38%,7.73
https://nailartai.app/nail-salons/alabama/oxford/la-vie-nails,2,83,2.41%,8.22
https://www.nailartai.app/nail-salons/michigan/clarkston/nails-on-main,2,83,2.41%,20.24
https://www.nailartai.app/nail-salons/pennsylvania/punxsutawney/vs-nails,2,82,2.44%,9.77
https://nailartai.app/nail-salons/pennsylvania/willow-grove/pro-nails,2,82,2.44%,12.62
https://nailartai.app/nail-salons/pennsylvania/ambler/grace-nail-salon,2,81,2.47%,9.44
https://www.nailartai.app/nail-salons/pennsylvania/tamaqua/nails-spa,2,75,2.67%,7.69
https://nailartai.app/nail-salons/new-york/syracuse/marigold-nails-spa-formerly-ryan-s-nails,2,72,2.78%,5.04
https://nailartai.app/nail-salons/alabama/bay-minette/star-nails,2,71,2.82%,7.9
https://www.nailartai.app/nail-salons/georgia/columbus/nails-service-day-spa,2,70,2.86%,5.99
https://nailartai.app/nail-salons/pennsylvania/strasburg/new-creations-studio-inc,2,70,2.86%,7.69
https://www.nailartai.app/nail-salons/pennsylvania/lewisburg/nails-by-shawna,2,66,3.03%,10.29
https://nailartai.app/nail-salons/michigan/rockford/plainfield-nail-spa-llc,2,64,3.12%,10.28
https://www.nailartai.app/nail-salons/pennsylvania/scranton/summer-nails-spa,2,63,3.17%,5.76
https://nailartai.app/nail-salons/michigan/wixom/diva-nails,2,63,3.17%,10.22
https://www.nailartai.app/nail-salons/pennsylvania/stroudsburg/d-d-nail-spa,2,63,3.17%,10.27
https://nailartai.app/nail-salons/pennsylvania/mckeesport/kim-s-nails,2,63,3.17%,10.97
https://www.nailartai.app/nail-salons/delaware/lewes/beach-waves-a-family-salon,2,61,3.28%,9.25
https://www.nailartai.app/nail-salons/delaware/lewes/beauty-nails-spa,2,60,3.33%,6.8
https://nailartai.app/nail-salons/delaware/kenton/del-nail-spa,2,60,3.33%,11.7
https://nailartai.app/nail-salons/pennsylvania/easton/luyi-nail-spa,2,59,3.39%,9.07
https://www.nailartai.app/nail-salons/michigan/sault-ste-marie/viv-nail-gallery,2,58,3.45%,5.6
https://www.nailartai.app/nail-salons/georgia/athens/sugar-polish-nail-bar-prince-ave-10-off-coupon-code,2,57,3.51%,6.04
https://nailartai.app/nail-salons/colorado/fort-collins/nice-nails-fort-collins-10-off-new-customers-thru-nov-15,2,56,3.57%,39.2
https://www.nailartai.app/nail-salons/pennsylvania/murrysville/lynn-s-nails,2,55,3.64%,17.16
https://nailartai.app/nail-salons/tennessee/adamsville/vip-nails-salon,2,53,3.77%,3.74
https://www.nailartai.app/nail-salons/pennsylvania/whitehall/enticed-beauty-studio,2,53,3.77%,7.32
https://nailartai.app/nail-salons/texas/el-paso/ck-nail-lounge,2,52,3.85%,8.15
https://nailartai.app/nail-salons/virginia/amherst,2,52,3.85%,10.15
https://nailartai.app/nail-salons/michigan/sault-ste-marie/kim-nails,2,52,3.85%,16.12
https://nailartai.app/nail-salons/pennsylvania/dallas/v-nails-salon,2,51,3.92%,8
https://nailartai.app/nail-salons/michigan/south-haven/k-nails,2,50,4%,11.66
https://www.nailartai.app/nail-salons/pennsylvania/ardmore/daisy-nails,2,49,4.08%,9.2
https://www.nailartai.app/nail-salons/michigan/bay-city/hairspray-holly-s-salon,2,49,4.08%,10.53
https://nailartai.app/nail-salons/pennsylvania/taylor/tip-top-nails,2,48,4.17%,6.98
https://nailartai.app/nail-salons/pennsylvania/clearfield/mk-spa,2,46,4.35%,14.78
https://nailartai.app/nail-salons/pennsylvania/macungie/nails-by-steve-and-cathy,2,45,4.44%,11.4
https://www.nailartai.app/nail-salons/pennsylvania/freeport/j-nail-studio,2,43,4.65%,14.05
https://www.nailartai.app/nail-salons/pennsylvania/sewickley/the-design-group,2,43,4.65%,22.09
https://www.nailartai.app/nail-salons/delaware/laurel/kr-nails,2,42,4.76%,4.57
https://nailartai.app/nail-salons/pennsylvania/cleona/polish-nails-spa-by-v-llc,2,42,4.76%,7.71
https://www.nailartai.app/nail-salons/michigan/monroe/angels-nail-spa,2,41,4.88%,4.24
https://nailartai.app/nail-salons/pennsylvania/murrysville/lynn-s-nails,2,41,4.88%,11.56
https://www.nailartai.app/nail-salons/michigan/farwell/paisley-sage-studio,2,40,5%,6.75
https://www.nailartai.app/nail-salons/michigan/dearborn,2,38,5.26%,20.32
https://nailartai.app/nail-salons/michigan/oscoda/beach-babe,2,37,5.41%,6.19
https://www.nailartai.app/nail-salons/pennsylvania/coatesville/candid-nails,2,37,5.41%,9.03
https://www.nailartai.app/nail-salons/pennsylvania/punxsutawney/jesse-s,2,37,5.41%,10.54
https://nailartai.app/nail-salons/california/auburn/holly-nails,2,35,5.71%,9.14
https://www.nailartai.app/nail-salons/pennsylvania/dillsburg/springhouse-spa,2,35,5.71%,9.6
https://www.nailartai.app/nail-salons/delaware/lewes/oanh-s-nails,2,34,5.88%,7.76
https://www.nailartai.app/nail-salons/colorado/alamosa/essential-radiance-skin-care-services,2,34,5.88%,11.29
https://nailartai.app/nail-salons/new-jersey/newark/sofia-reis-nails,2,33,6.06%,5.21
https://www.nailartai.app/nail-salons/virginia/altavista/lulu-s,2,33,6.06%,5.61
https://nailartai.app/nail-salons/pennsylvania/philadelphia/sakura-nail-salon,2,32,6.25%,5.09
https://www.nailartai.app/nail-salons/illinois/joliet/image-nail-salon,2,30,6.67%,5.87
https://nailartai.app/nail-salons/pennsylvania/greensburg/europe-nails,2,30,6.67%,10.77
https://www.nailartai.app/nail-salons/michigan/west-branch/nails-by-holland,2,28,7.14%,5.93
https://nailartai.app/nail-salons/west-virginia/morgantown/x-nails,2,27,7.41%,11.41
https://www.nailartai.app/nail-salons/pennsylvania/west-chester/c-d-nails,2,27,7.41%,15
https://www.nailartai.app/nail-salons/pennsylvania/uniontown/bella-nailz,2,25,8%,10.52
https://www.nailartai.app/nail-salons/pennsylvania/myerstown,2,24,8.33%,11.38
https://www.nailartai.app/nail-salons/delaware/hockessin/simple-nails-ii,2,23,8.7%,5.26
https://www.nailartai.app/nail-salons/louisiana/abbeville/tammy-s-nail-salon,2,22,9.09%,4.55
https://www.nailartai.app/nail-salons/pennsylvania/uniontown/studio-412,2,22,9.09%,6.32
https://www.nailartai.app/nail-salons/delaware/pike-creek/nail-d-by-londyn-studios,2,22,9.09%,11
https://www.nailartai.app/nail-salons/pennsylvania/mcsherrystown/kelly-pro-nails,2,21,9.52%,9.57
https://www.nailartai.app/nail-salons/california/delano,2,21,9.52%,18.57
https://www.nailartai.app/nail-salons/pennsylvania/annville/harmonee-nail-studio,2,20,10%,7.15
https://nailartai.app/nail-salons/iowa/adair/eternity-nails-spa,2,20,10%,16.25
https://www.nailartai.app/nail-salons/michigan/cheboygan/shelly-s-place-aka-water-street-salon,2,19,10.53%,7.05
https://www.nailartai.app/nail-salons/south-carolina/anderson/pretty-nails-spa,2,19,10.53%,14
https://www.nailartai.app/nail-salons/florida/apollo-beach/15-off-for-new-clients-noire-the-nail-bar-riverview,2,18,11.11%,2.89
https://nailartai.app/nail-salons/florida/apopka/bahama-nails,2,18,11.11%,9.61
https://nailartai.app/nail-salons/utah/west-jordan/jv-nail-spa,2,18,11.11%,17.61
https://www.nailartai.app/nail-salons/delaware/seaford/meraki-studio,2,17,11.76%,5.94
https://nailartai.app/nail-salons/new-york/rochester/blossom-nails-spa,2,17,11.76%,11.65
https://nailartai.app/nail-salons/california/newark/ritz-beauty-salon,2,16,12.5%,4.75
https://nailartai.app/nail-salons/california/apple-valley/world-luxury-nails-spa,2,16,12.5%,8.62
https://www.nailartai.app/nail-salons/michigan/troy/my-nails-and-spa,2,16,12.5%,11.56
https://www.nailartai.app/nail-salons/michigan/evart/evart-nail-box,2,15,13.33%,3.53
https://nailartai.app/nail-salons/minnesota/apple-valley/apple-nails-5-off-for-students-and-seniors-with-the-service-of-50-more,2,15,13.33%,5.53
https://nailartai.app/nail-salons/pennsylvania/hazleton/smile-spa-asian-massage-parlor,2,15,13.33%,7.33
https://nailartai.app/nail-salons/california/lake-forest/belage-nails-spa,2,15,13.33%,10.73
https://nailartai.app/nail-salons/michigan/okemos/head-to-toe,2,15,13.33%,24.27
https://nailartai.app/nail-salons/pennsylvania/uniontown/bella-nailz,2,14,14.29%,6.93
https://www.nailartai.app/nail-salons/pennsylvania/dillsburg/spa145,2,14,14.29%,13.29
https://www.nailartai.app/nail-salons/delaware/gills-neck/oanh-s-nails,2,13,15.38%,12.62
https://www.nailartai.app/nail-salons/michigan/bay-city/nails-with-april,2,12,16.67%,4.75
https://www.nailartai.app/nail-salons/california/etna,2,12,16.67%,6.42
https://www.nailartai.app/nail-salons/california/chester,2,12,16.67%,7.92
https://nailartai.app/nail-salons/pennsylvania/moosic/endless-possibilities-salon-llc,2,11,18.18%,4.64
https://www.nailartai.app/nail-salons/michigan/taylor/nifti-nail-co,2,10,20%,5.7
https://nailartai.app/nail-salons/montana/absarokee,2,10,20%,7.6
https://www.nailartai.app/nail-salons/california/hemet,2,10,20%,11.8
https://nailartai.app/nail-salons/pennsylvania/mount-joy/universal-nail-studio,2,10,20%,13
https://nailartai.app/nail-salons/idaho/nampa/lash-bungalow,2,9,22.22%,2.78
https://www.nailartai.app/nail-salons/pennsylvania/stroudsburg/jennifer-nails,2,8,25%,5.75
https://nailartai.app/nail-salons/texas/dallas/a-t-studio-nails-dallas-mattison-avenue-salons,2,7,28.57%,3.57
https://nailartai.app/nail-salons/iowa/agency/simply-you-salon,2,7,28.57%,6
https://nailartai.app/nail-salons/pennsylvania/hughesville/hair-gallery,2,7,28.57%,7
https://www.nailartai.app/nail-salons/georgia/columbus/perfect-nails,2,7,28.57%,7
https://www.nailartai.app/nail-salons/idaho/aberdeen/4-seasons-nails-studio,2,7,28.57%,24.86
https://nailartai.app/nail-salons/alabama/alabaster/nail-junkie,2,6,33.33%,1.83
https://nailartai.app/nail-salons/california/yucca-valley/lucky-nails,2,4,50%,7
https://nailartai.app/nail-salons/pennsylvania/conshohocken/coco-blue,1,404,0.25%,5.96
https://nailartai.app/nail-salons/michigan/flint/lovely-nails-spa,1,385,0.26%,9.56
https://nailartai.app/nail-salons/pennsylvania/bethlehem/shelby-s-nails,1,377,0.27%,11
https://nailartai.app/nail-salons/michigan/kalamazoo/v-nails-spa,1,374,0.27%,8.48
https://www.nailartai.app/nail-salons/pennsylvania/collegeville/hello-trappe-nails-llc,1,365,0.27%,6.04
https://nailartai.app/nail-salons/pennsylvania/collegeville/hello-trappe-nails-llc,1,347,0.29%,8.19
https://www.nailartai.app/nail-salons/pennsylvania/easton/magnolia-nails-spa,1,345,0.29%,10.54
https://www.nailartai.app/nail-salons/georgia/columbus/the-x-nails-bar-15-off-for-new-client,1,336,0.3%,7.51
https://nailartai.app/nail-salons/alabama/hartselle/simply-nail-spa,1,315,0.32%,10.72
https://www.nailartai.app/nail-salons/pennsylvania/olyphant/hz-mermaid-nail-salon,1,313,0.32%,7.05
https://nailartai.app/nail-salons/alabama/cullman/nail-bar-lounge,1,304,0.33%,9.06
https://www.nailartai.app/nail-salons/michigan/muskegon/twins-nails-spa,1,286,0.35%,8.34
https://nailartai.app/nail-salons/georgia/columbus/the-x-nails-bar-15-off-for-new-client,1,275,0.36%,7.95
https://www.nailartai.app/nail-salons/pennsylvania/allentown/bliss-nails-spa,1,275,0.36%,8.97
https://nailartai.app/nail-salons/michigan/rochester-hills/creative-nails-too,1,268,0.37%,10.06
https://nailartai.app/nail-salons/michigan/muskegon/lucky-nails,1,260,0.38%,6.82
https://www.nailartai.app/nail-salons/pennsylvania/spring-grove/nails-salem,1,260,0.38%,7.36
https://www.nailartai.app/nail-salons/pennsylvania/collegeville/star-nails-by-kim,1,251,0.4%,7.07
https://www.nailartai.app/nail-salons/pennsylvania/beaver/luna-nail-studio,1,250,0.4%,10.32
https://www.nailartai.app/nail-salons/pennsylvania/murrysville/1st-nails-spa,1,249,0.4%,16.18
https://nailartai.app/nail-salons/pennsylvania/bethlehem/tipsy-nails-spa,1,245,0.41%,10.89
https://nailartai.app/nail-salons/michigan/grosse-pointe/asian-nails,1,244,0.41%,7.44
https://www.nailartai.app/nail-salons/michigan/jenison/posh-nails-spa-knapp-s-corner,1,244,0.41%,7.74
https://nailartai.app/nail-salons/michigan/big-rapids/cat-nails-spa,1,242,0.41%,13.22
https://nailartai.app/nail-salons/michigan/mount-pleasant/la-nails,1,238,0.42%,9.17
https://nailartai.app/nail-salons/pennsylvania/exton/nina-nails-spa,1,234,0.43%,10.27
https://nailartai.app/nail-salons/california/santa-clarita/victoria-nails-lounge,1,230,0.43%,6
https://www.nailartai.app/nail-salons/pennsylvania/monroeville,1,229,0.44%,13.62
https://www.nailartai.app/nail-salons/pennsylvania/north-wales/beyond-nails,1,225,0.44%,8.53
https://nailartai.app/nail-salons/delaware/lewes/tnt-nails-spa-llc,1,221,0.45%,8.67
https://www.nailartai.app/nail-salons/pennsylvania/archbald/hz-mermaid-nail-salon,1,214,0.47%,7.98
https://www.nailartai.app/nail-salons/michigan/east-lansing/m-vinc-nail-spa-eastwood-towne-center,1,207,0.48%,8.54
https://nailartai.app/nail-salons/delaware/smyrna/bb-nails-spa,1,207,0.48%,10.61
https://www.nailartai.app/nail-salons/pennsylvania/oakmont/royal-nails-spa,1,206,0.49%,8.47
https://nailartai.app/nail-salons/michigan/sault-ste-marie/number-1-nails,1,202,0.5%,8.61
https://nailartai.app/nail-salons/michigan/ann-arbor/pro-nails-spa,1,202,0.5%,9.76
https://nailartai.app/nail-salons/massachusetts/springfield/lucky-nails-salon,1,200,0.5%,12.73
https://nailartai.app/nail-salons/michigan/novi/attractive-nails,1,197,0.51%,10.42
https://nailartai.app/nail-salons/new-jersey/jersey-city/fresh-nails-spa,1,197,0.51%,11.51
https://www.nailartai.app/nail-salons/pennsylvania/greensburg/h-m-nails,1,196,0.51%,11.27
https://nailartai.app/nail-salons/michigan/pinconning/sam-s-hair-design,1,195,0.51%,9.35
